"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"361",1986,"AMJ",-0.01,"Neutral","gray80",1986-05-01,"Neutral"
"362",1986,"ASO",0.98,"El_Nino","firebrick",1986-09-01,"El_Nino"
"363",1986,"DJF",-0.493333333333333,"Neutral","gray80",1986-01-01,"Neutral"
"364",1986,"FMA",-0.08,"Neutral","gray80",1986-03-01,"Neutral"
"365",1986,"JAS",0.65,"El_Nino","firebrick",1986-08-01,"El_Nino"
"366",1986,"JFM",-0.26,"Neutral","gray80",1986-02-01,"Neutral"
"367",1986,"JJA",0.51,"El_Nino","firebrick",1986-07-01,"El_Nino"
"368",1986,"MAM",-0.27,"Neutral","gray80",1986-04-01,"Neutral"
"369",1986,"MJJ",0.17,"Neutral","gray80",1986-06-01,"Neutral"
"370",1986,"SON",1.2,"El_Nino","firebrick",1986-10-01,"El_Nino"
"371",1987,"AMJ",1.21,"El_Nino","firebrick",1987-05-01,"El_Nino"
"372",1987,"ASO",1.42,"El_Nino","firebrick",1987-09-01,"El_Nino"
"373",1987,"DJF",1.23,"El_Nino","firebrick",1987-01-01,"El_Nino"
"374",1987,"FMA",0.82,"El_Nino","firebrick",1987-03-01,"El_Nino"
"375",1987,"JAS",1.77,"El_Nino","firebrick",1987-08-01,"El_Nino"
"376",1987,"JFM",1.13,"El_Nino","firebrick",1987-02-01,"El_Nino"
"377",1987,"JJA",1.76,"El_Nino","firebrick",1987-07-01,"El_Nino"
"378",1987,"MAM",0.88,"El_Nino","firebrick",1987-04-01,"El_Nino"
"379",1987,"MJJ",1.57,"El_Nino","firebrick",1987-06-01,"El_Nino"
"380",1987,"SON",1.27,"El_Nino","firebrick",1987-10-01,"El_Nino"
"381",1988,"AMJ",-1.44,"La_Nina","steelblue",1988-05-01,"La_Nina"
"382",1988,"ASO",-1.71,"La_Nina","steelblue",1988-09-01,"La_Nina"
"383",1988,"DJF",0.81,"El_Nino","firebrick",1988-01-01,"El_Nino"
"384",1988,"FMA",-0.19,"Neutral","gray80",1988-03-01,"Neutral"
"385",1988,"JAS",-0.87,"La_Nina","steelblue",1988-08-01,"La_Nina"
"386",1988,"JFM",0.25,"Neutral","gray80",1988-02-01,"Neutral"
"387",1988,"JJA",-0.99,"La_Nina","steelblue",1988-07-01,"La_Nina"
"388",1988,"MAM",-1,"La_Nina","steelblue",1988-04-01,"La_Nina"
"389",1988,"MJJ",-1.45,"La_Nina","steelblue",1988-06-01,"La_Nina"
"390",1988,"SON",-1.85,"La_Nina","steelblue",1988-10-01,"La_Nina"
"391",1989,"AMJ",-0.29,"Neutral","gray80",1989-05-01,"Neutral"
"392",1989,"ASO",-0.22,"Neutral","gray80",1989-09-01,"Neutral"
"393",1989,"DJF",-1.69,"La_Nina","steelblue",1989-01-01,"La_Nina"
"394",1989,"FMA",-0.82,"La_Nina","steelblue",1989-03-01,"La_Nina"
"395",1989,"JAS",-0.18,"Neutral","gray80",1989-08-01,"Neutral"
"396",1989,"JFM",-1.05,"La_Nina","steelblue",1989-02-01,"La_Nina"
"397",1989,"JJA",-0.33,"Neutral","gray80",1989-07-01,"Neutral"
"398",1989,"MAM",-0.61,"La_Nina","steelblue",1989-04-01,"La_Nina"
"399",1989,"MJJ",-0.3,"Neutral","gray80",1989-06-01,"Neutral"
"400",1989,"SON",-0.25,"Neutral","gray80",1989-10-01,"Neutral"
"401",1990,"AMJ",0.21,"Neutral","gray80",1990-05-01,"Neutral"
"402",1990,"ASO",0.4,"Neutral","gray80",1990-09-01,"Neutral"
"403",1990,"DJF",0.136666666666667,"Neutral","gray80",1990-01-01,"Neutral"
"404",1990,"FMA",0.33,"Neutral","gray80",1990-03-01,"Neutral"
"405",1990,"JAS",0.35,"Neutral","gray80",1990-08-01,"Neutral"
"406",1990,"JFM",0.2,"Neutral","gray80",1990-02-01,"Neutral"
"407",1990,"JJA",0.42,"Neutral","gray80",1990-07-01,"Neutral"
"408",1990,"MAM",0.34,"Neutral","gray80",1990-04-01,"Neutral"
"409",1990,"MJJ",0.37,"Neutral","gray80",1990-06-01,"Neutral"
"410",1990,"SON",0.31,"Neutral","gray80",1990-10-01,"Neutral"
"411",1991,"AMJ",0.65,"El_Nino","firebrick",1991-05-01,"El_Nino"
"412",1991,"ASO",0.82,"El_Nino","firebrick",1991-09-01,"El_Nino"
"413",1991,"DJF",0.406666666666667,"Neutral","gray80",1991-01-01,"Neutral"
"414",1991,"FMA",0.32,"Neutral","gray80",1991-03-01,"Neutral"
"415",1991,"JAS",0.36,"Neutral","gray80",1991-08-01,"Neutral"
"416",1991,"JFM",0.05,"Neutral","gray80",1991-02-01,"Neutral"
"417",1991,"JJA",0.69,"El_Nino","firebrick",1991-07-01,"El_Nino"
"418",1991,"MAM",0.4,"Neutral","gray80",1991-04-01,"Neutral"
"419",1991,"MJJ",0.86,"El_Nino","firebrick",1991-06-01,"El_Nino"
"420",1991,"SON",1.19,"El_Nino","firebrick",1991-10-01,"El_Nino"
"421",1992,"AMJ",0.7,"El_Nino","firebrick",1992-05-01,"El_Nino"
"422",1992,"ASO",-0.34,"Neutral","gray80",1992-09-01,"Neutral"
"423",1992,"DJF",1.71333333333333,"El_Nino","firebrick",1992-01-01,"El_Nino"
"424",1992,"FMA",1.32,"El_Nino","firebrick",1992-03-01,"El_Nino"
"425",1992,"JAS",-0.13,"Neutral","gray80",1992-08-01,"Neutral"
"426",1992,"JFM",1.38,"El_Nino","firebrick",1992-02-01,"El_Nino"
"427",1992,"JJA",0.07,"Neutral","gray80",1992-07-01,"Neutral"
"428",1992,"MAM",1.16,"El_Nino","firebrick",1992-04-01,"El_Nino"
"429",1992,"MJJ",0.33,"Neutral","gray80",1992-06-01,"Neutral"
"430",1992,"SON",-0.28,"Neutral","gray80",1992-10-01,"Neutral"
"431",1993,"AMJ",0.48,"Neutral","gray80",1993-05-01,"Neutral"
"432",1993,"ASO",0.02,"Neutral","gray80",1993-09-01,"Neutral"
"433",1993,"DJF",0.09,"Neutral","gray80",1993-01-01,"Neutral"
"434",1993,"FMA",0.71,"El_Nino","firebrick",1993-03-01,"El_Nino"
"435",1993,"JAS",0.29,"Neutral","gray80",1993-08-01,"Neutral"
"436",1993,"JFM",0.4,"Neutral","gray80",1993-02-01,"Neutral"
"437",1993,"JJA",0.15,"Neutral","gray80",1993-07-01,"Neutral"
"438",1993,"MAM",0.91,"El_Nino","firebrick",1993-04-01,"El_Nino"
"439",1993,"MJJ",0.33,"Neutral","gray80",1993-06-01,"Neutral"
"440",1993,"SON",0.01,"Neutral","gray80",1993-10-01,"Neutral"
"441",1994,"AMJ",0.44,"Neutral","gray80",1994-05-01,"Neutral"
"442",1994,"ASO",0.71,"El_Nino","firebrick",1994-09-01,"El_Nino"
"443",1994,"DJF",0.0633333333333333,"Neutral","gray80",1994-01-01,"Neutral"
"444",1994,"FMA",0.38,"Neutral","gray80",1994-03-01,"Neutral"
"445",1994,"JAS",0.41,"Neutral","gray80",1994-08-01,"Neutral"
"446",1994,"JFM",0.11,"Neutral","gray80",1994-02-01,"Neutral"
"447",1994,"JJA",0.54,"El_Nino","firebrick",1994-07-01,"El_Nino"
"448",1994,"MAM",0.43,"Neutral","gray80",1994-04-01,"Neutral"
"449",1994,"MJJ",0.35,"Neutral","gray80",1994-06-01,"Neutral"
"450",1994,"SON",1.11,"El_Nino","firebrick",1994-10-01,"El_Nino"
